Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('20th Street', 'Dolores Street')",-122.4257837,37.7582317,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,162.1471426,90.02964187,0.000916969,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('20th Street', 'Folsom Street')",-122.414719,37.7589063,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7191868,90.25582964,0.002285825,0.000202328,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('20th Street', 'Guerrero Street')",-122.4234924,37.75837015,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,23.3613786,90.63718856,0.000233929,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('20th Street', 'Hampshire Street')",-122.4079405,37.7593101,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,161.2596732,91.81651594,0.193464457,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('20th Street', 'Illinois Street')",-122.3875698,37.7605555,4,4,1,1,1,1,1,1,0,4,0,4,yes,None,16.4895061,90.36258278,0.006240962,0,79.49795276,2.454674474,no,0,0,no,"{'residential': 2, 'cycleway': 4, 'track': 1}","{'residential': 2, 'cycleway': 4, 'track': 1}",25,25,25,25,0,4,0,0,4,0
"('20th Street', 'Lexington Street')",-122.4205075,37.7585506,3,3,1,1,0,0,1,1,0,3,0,3,yes,None,160.8444618,90.41369228,0.002911545,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,1,0,2,1
"('20th Street', 'Mission Street')",-122.4190752,37.7586372,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,22.14422553,90.3526065,0.009214584,0.000111257,67.57191427,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('20th Street', 'Potrero Avenue')",-122.4069591,37.7593725,3,4,3,1,0,0,2,1,0,3,0,4,yes,yes,160.9913428,90.37709563,0.003624943,0,-1,-1,no,0,0,no,"{'residential': 1, 'primary': 1, 'cycleway': 5}","{'residential': 1, 'primary': 1, 'cycleway': 5}",25,25,25,25,2,1,0,2,2,0
"('20th Street', 'San Carlos Street')",-122.4198416,37.7585908,3,3,1,1,0,0,1,1,0,3,0,3,yes,yes,160.25344,90.4177055,0.003241969,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,2,1,0,2,1
"('20th Street', 'South Van Ness Avenue')",-122.4168919,37.7587763,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,161.0792192,90.29117456,0.00283056,0.000274232,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 6}","{'primary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('20th Street', 'Tennessee Street')",-122.3895065,37.7604386,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,22.98506394,92.52844499,0.262172018,0,72.97506192,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,1,4,0
"('20th Street', 'Valencia Street')",-122.4212725,37.7585043,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,160.7047818,91.46790611,0.048188968,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('21st Avenue', 'Geary Boulevard')",-122.4804686,37.78029325,4,4,2,1,0,0,3,1,0,4,0,4,yes,None,116.7448188,90.02392515,0.000391557,0,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('21st Street', 'Folsom Street')",-122.4145631,37.7573041,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7157147,90.30513051,0.001782239,0.000160685,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('21st Street', 'Guerrero Street')",-122.4233304,37.75677305,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,23.34927439,90.54923074,0.000122034,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('21st Street', 'Hampshire Street')",-122.4077731,37.7577156,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.6672107,90.22812135,0.001963544,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('21st Street', 'Lexington Street')",-122.4203385,37.756954,3,2,1,1,0,0,1,1,0,3,0,2,yes,None,58.10598565,90.40761193,0.005136876,0,68.77235587,-1,no,0,0,no,"{'residential': 2, 'cycleway': 3}","{'residential': 1, 'cycleway': 3}",25,25,25,25,0,2,1,0,2,0
"('21st Street', 'Mission Street')",-122.4189227,37.7570441,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,22.17905738,90.40199326,0.005278979,8.45E-05,67.64752146,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('21st Street', 'Potrero Avenue')",-122.4068055,37.7577763,3,4,3,1,0,0,3,1,0,3,0,4,yes,yes,133.3015665,90.86587724,0.011924251,0,-1,-1,no,0,0,no,"{'residential': 1, 'primary': 1, 'cycleway': 3}","{'residential': 1, 'primary': 1, 'cycleway': 4}",25,25,25,25,2,1,0,2,2,0
"('21st Street', 'San Carlos Street')",-122.4196895,37.7569933,2,3,1,1,0,0,1,1,0,2,0,3,yes,yes,57.23114034,90.41246836,0.008940563,0,67.64752146,-1,no,0,0,no,"{'residential': 1, 'cycleway': 2}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,0,0,2,1
"('21st Street', 'South Van Ness Avenue')",-122.416739,37.7571719,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,161.0798934,90.10281899,0.01640723,0.000539555,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 6}","{'primary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('21st Street', 'Valencia Street')",-122.4211185,37.7569068,4,4,2,1,0,0,3,1,0,4,0,4,yes,None,59.01434179,91.10403166,0.039052712,0,68.77235587,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('22nd Avenue', 'Fulton Street')",-122.480997,37.7727177,3,3,2,1,0,0,2,1,0,3,0,3,yes,yes,49.03887948,90.06744286,0.001740009,0.000134337,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",35,25,35,25,0,3,0,0,3,0
"('22nd Avenue', 'Geary Boulevard')",-122.4815394,37.78024455,4,4,3,1,0,0,3,1,0,4,0,4,yes,None,160.4765039,90.04686159,0.000389352,0,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 5}","{'residential': 1, 'secondary': 1, 'cycleway': 5}",25,25,25,25,2,2,0,2,2,0
"('22nd Street', '3rd Street')",-122.3883332,37.75794045,4,4,2,1,2,2,2,1,0,3,0,3,yes,None,28.39281258,92.30568278,0.006573248,0,-1,0.468371849,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 3, 'track': 2}","{'primary': 1, 'residential': 1, 'cycleway': 3, 'track': 2}",30,25,30,25,2,2,0,2,2,0
"('22nd Street', 'Bryant Street')",-122.4094619,37.7560037,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.6690015,90.19860628,0.008432694,0.002084372,-1,-1,no,0,0,no,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Dolores Street')",-122.425476,37.75503175,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,162.1419501,90.01374563,0.000269942,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('22nd Street', 'Florida Street')",-122.4103937,37.7559509,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7066232,90.26438961,0.004292716,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Folsom Street')",-122.4144003,37.7557072,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7164498,90.32009616,0.007658261,0.00041137,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Guerrero Street')",-122.4231808,37.75516995,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,161.1577188,90.03139628,0.001321669,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('22nd Street', 'Hampshire Street')",-122.4076238,37.7561139,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.6841959,90.12838531,0.006212104,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Mission Street')",-122.4187696,37.7554436,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,22.13321969,90.18415417,0.001088883,0.000100173,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Potrero Avenue')",-122.4066649,37.7561713,4,4,3,1,0,0,2,1,0,4,0,4,yes,yes,160.4887778,90.4031,0.021611782,0,-1,-1,no,0,0,no,"{'residential': 1, 'primary': 1, 'cycleway': 4}","{'residential': 1, 'primary': 1, 'cycleway': 5}",25,25,25,25,2,2,0,2,2,0
"('22nd Street', 'San Jose Avenue')",-122.4214357,37.755275,3,3,1,1,0,0,1,1,0,3,0,3,yes,None,160.6993105,96.67280561,0.000497421,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('22nd Street', 'South Van Ness Avenue')",-122.416587,37.7555769,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,161.0818723,90.160699,0.001993878,0.00011311,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 6}","{'primary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Tennessee Street')",-122.389248,37.757884,4,4,1,1,1,0,1,1,0,4,0,4,yes,None,160.8658874,90.56573741,0.004563272,0,-1,78.2019418,no,0,0,no,"{'residential': 2, 'cycleway': 6, 'track': 1}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'Valencia Street')",-122.4209648,37.7553033,4,4,2,1,0,0,3,1,0,4,0,4,yes,None,160.6885114,91.21337606,0.040092286,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('22nd Street', 'York Street')",-122.4085132,37.7560605,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7057432,90.06936672,0.00844265,0.001417798,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Avenue', 'Geary Boulevard')",-122.4826109,37.78019585,4,4,3,1,0,0,3,1,0,4,0,4,yes,None,160.479318,91.10738109,0.046832746,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 5}","{'secondary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,2,2,0,2,2,0
"('23rd Avenue', 'Sloat Boulevard')",-122.4793901,37.7345509,3,4,3,1,0,0,2,1,0,3,0,4,yes,None,35.30944928,91.06388092,0.465434211,0,67.51643403,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 4}","{'primary': 1, 'residential': 1, 'cycleway': 5}",40,25,40,25,2,1,0,2,2,0
"('23rd Street', '3rd Street')",-122.3880158,37.75537687,4,4,3,1,2,4,2,1,0,4,0,4,yes,None,160.5075335,91.68969499,0.076449076,0.003189999,-1,0.620666145,no,1,0,no,"{'residential': 2, 'primary': 1, 'cycleway': 5, 'track': 2}","{'residential': 2, 'primary': 1, 'cycleway': 5, 'track': 4}",30,25,30,25,2,4,0,2,4,0
"('23rd Street', 'Church Street')",-122.4276006,37.7532904,3,4,1,1,0,0,1,1,0,3,0,4,yes,None,160.695267,90.13632947,0.000828431,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,1
"('23rd Street', 'Dolores Street')",-122.4253222,37.75343215,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,162.1384717,90.21648009,0.012497347,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('23rd Street', 'Folsom Street')",-122.4142558,37.7541026,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7117182,90.49975149,0.012142645,5.72E-05,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Guerrero Street')",-122.4230277,37.7535692,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,161.1527332,90.57470146,0.007201946,0,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 6}","{'residential': 1, 'secondary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('23rd Street', 'Hampshire Street')",-122.4074723,37.7545172,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.6736692,90.19195812,0.003695008,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Illinois Street')",-122.38708,37.7554463,4,4,1,1,1,1,1,1,0,4,0,4,yes,None,163.4844006,91.37209094,0.07440772,0,-1,1.349021751,no,0,0,no,"{'residential': 2, 'cycleway': 6, 'track': 1}","{'residential': 2, 'cycleway': 6, 'track': 1}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Mission Street')",-122.4186155,37.7538439,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,22.18407837,90.65744804,0.0005474,2.10E-05,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Potrero Avenue')",-122.4064899,37.75443332,4,4,3,1,0,0,3,1,0,4,0,4,yes,yes,50.65576352,91.62851356,0.071044349,0,-1,-1,no,0,0,no,"{'residential': 1, 'primary': 1, 'cycleway': 4}","{'residential': 1, 'primary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('23rd Street', 'San Jose Avenue')",-122.4215193,37.7536576,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,160.7747589,96.95127812,0.22670142,2.46E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'South Van Ness Avenue')",-122.4164345,37.753977,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,161.0814599,90.35247795,0.00208747,0.000393178,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 6}","{'primary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Tennessee Street')",-122.389001,37.75533,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,163.5873134,90.97846173,0.017604102,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('23rd Street', 'Utah Street')",-122.4054705,37.7543443,3,3,1,1,0,0,1,1,0,3,0,3,yes,yes,16.41202548,89.97827672,0.008613536,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('23rd Street', 'Valencia Street')",-122.420812,37.753703,4,4,2,1,0,0,3,1,0,4,0,4,yes,None,160.7037653,93.6643466,0.119853291,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('24th Avenue', 'Geary Boulevard')",-122.4836794,37.7801472,4,4,3,1,0,0,3,1,0,4,0,4,yes,None,124.130486,91.10213943,0.19710016,0,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('24th Avenue', 'Sloat Boulevard')",-122.4802661,37.734431,2,3,2,1,0,0,3,1,0,2,0,3,yes,None,160.977624,91.14307243,0.481946968,0,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 3}","{'primary': 1, 'residential': 1, 'cycleway': 3}",40,25,40,25,1,1,0,1,1,1
"('24th Street', '3rd Street')",-122.3878945,37.7541151,4,4,2,1,3,2,2,1,0,4,0,4,yes,None,28.69340649,91.59197793,0.07366676,0,-1,0.471041826,no,1,0,no,"{'residential': 1, 'primary': 1, 'cycleway': 4, 'track': 3}","{'residential': 1, 'primary': 1, 'cycleway': 4, 'track': 2}",30,25,30,25,2,2,0,2,2,0
"('24th Street', 'Alabama Street')",-122.4109823,37.7526963,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,162.6356689,90.11535189,0.011321036,0.004168552,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Bryant Street')",-122.4091488,37.7528057,4,4,2,1,0,0,1,1,0,4,0,4,yes,yes,160.6649672,91.15715353,0.132153846,0.000292181,-1,-1,no,0,0,no,"{'tertiary': 2, 'cycleway': 5}","{'tertiary': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Capp Street')",-122.4173739,37.752309,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.69371,90.01670059,0.001410349,0.000309903,-1,-1,no,0,0,no,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Castro Street')",-122.4341088,37.7512993,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,16.41858287,90.11793549,3.17E-05,0,-1,-1,no,0,0,no,"{'tertiary': 2, 'residential': 1, 'cycleway': 4}","{'tertiary': 2, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Dolores Street')",-122.4251691,37.75184015,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,27.79958575,90.06926592,0.001731344,0,-1,-1,no,0,0,no,"{'tertiary': 2, 'cycleway': 5}","{'tertiary': 2, 'cycleway': 5}",25,25,25,25,2,2,0,2,2,0
"('24th Street', 'Florida Street')",-122.4100892,37.7527504,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.7036141,90.12132549,0.003920633,5.92E-05,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Folsom Street')",-122.4141024,37.7525057,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,16.41588333,90.02594881,0.000406153,4.08E-05,-1,-1,no,0,0,no,"{'tertiary': 2, 'cycleway': 4}","{'tertiary': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Guerrero Street')",-122.4228807,37.7519778,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,161.2830324,90.63062496,0.004473827,0,-1,-1,no,0,0,no,"{'tertiary': 1, 'secondary': 1, 'cycleway': 6}","{'tertiary': 1, 'secondary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('24th Street', 'Hampshire Street')",-122.4073218,37.7529136,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,16.48667016,91.35944105,0.070666332,3.39E-05,78.65805255,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Harrison Street')",-122.4118957,37.7526421,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,162.7585187,91.32345476,0.014997275,0.006643693,-1,-1,no,0,0,no,"{'tertiary': 2, 'cycleway': 6}","{'tertiary': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Illinois Street')",-122.3869649,37.7541676,4,4,1,1,1,1,1,1,0,4,0,4,yes,None,160.6354997,90.97215523,0.065692659,0,-1,0.605954559,no,0,0,no,"{'residential': 2, 'cycleway': 6, 'track': 1}","{'residential': 2, 'cycleway': 6, 'track': 1}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Mission Street')",-122.4184634,37.7522435,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,25.73506137,90.12683575,0.006659495,0.00018398,-1,-1,no,0,0,no,"{'tertiary': 1, 'secondary': 1, 'cycleway': 4}","{'tertiary': 1, 'secondary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Potrero Avenue')",-122.4063517,37.75299325,4,4,3,1,0,0,3,1,0,4,0,4,yes,yes,125.7401403,91.7605459,0.280958209,0.002176404,-1,-1,no,0,0,no,"{'tertiary': 1, 'residential': 1, 'primary': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'primary': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('24th Street', 'South Van Ness Avenue')",-122.4162818,37.7523747,4,4,2,1,0,0,2,1,0,4,0,4,yes,yes,22.13074823,90.03863604,0.000784423,0.000132949,-1,-1,no,0,0,no,"{'primary': 1, 'tertiary': 1, 'cycleway': 4}","{'primary': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Tennessee Street')",-122.388877,37.754053,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,160.4686259,90.99961723,0.007333634,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Utah Street')",-122.4053461,37.7530682,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,16.41303385,90.41259114,0.080709278,8.36E-05,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'Valencia Street')",-122.4206657,37.752111,4,4,3,1,0,0,1,1,0,4,0,4,yes,None,67.06453697,92.02264033,0.351278827,0,-1,-1,no,0,0,no,"{'tertiary': 2, 'cycleway': 4}","{'tertiary': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('24th Street', 'York Street')",-122.4082139,37.7528599,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,160.6943574,90.24227668,0.002053965,0.000220307,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('25th Avenue', 'Anza Street')",-122.4846124,37.7781732,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,160.4821111,91.06494449,0.03904442,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 5}","{'secondary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('25th Avenue', 'Balboa Street')",-122.4844774,37.7763062,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,55.65281949,91.13599343,0.040333839,0,-1,-1,no,0,0,no,"{'secondary': 2, 'tertiary': 1, 'cycleway': 4}","{'secondary': 2, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('25th Avenue', 'Cabrillo Street')",-122.4843425,37.7744399,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,57.22212837,91.06235864,0.121808654,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('25th Avenue', 'California Street')",-122.4850257,37.7838903,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,160.4813908,91.0680263,0.039263704,0,-1,-1,no,0,0,no,"{'secondary': 1, 'tertiary': 1, 'cycleway': 5}","{'secondary': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('25th Avenue', 'Clement Street')",-122.4848906,37.7820218,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,160.4812122,92.01981921,0.130040853,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 5}","{'secondary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
