Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('13th Street', 'South Van Ness Avenue')",-122.417767,37.76979228,7,9,3,1,0,0,3,1,0,5,0,6,yes,None,117.3856346,179.0222217,0.833997288,0,-1,-1,no,0,0,no,"{'primary': 1, 'trunk': 1, 'primary_link': 1, 'motorway_link': 1, 'secondary': 1, 'cycleway': 5}","{'primary': 1, 'trunk': 1, 'primary_link': 1, 'motorway_link': 1, 'secondary': 1, 'cycleway': 6}",25,20,25,20,6,0,1,6,0,3
"('14th Avenue', 'Anza Street')",-122.4727268,37.7787144,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,160.4749474,90.04925539,0.00994326,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'Balboa Street')",-122.4725925,37.7768453,4,4,3,1,0,0,2,1,0,4,0,4,yes,None,160.4746225,94.43683808,0.413368967,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 5}","{'secondary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'Cabrillo Street')",-122.4724585,37.774981,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,16.4104656,90.0488424,0.001645123,0,40.93664759,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'California Street')",-122.4731363,37.7844304,4,4,3,1,0,0,2,1,0,4,0,4,yes,None,160.4797436,93.35620341,0.50973989,0,-1,-1,no,0,0,no,"{'secondary': 1, 'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'Clement Street')",-122.4730023,37.7825644,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,160.4673148,90.03326257,0.008676235,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'Fulton Street')",-122.4723243,37.7731138,3,3,2,1,0,0,2,1,0,3,0,3,yes,None,22.12013684,90.07992183,0.0016218,0,41.4059432,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 3}","{'secondary': 1, 'residential': 1, 'cycleway': 3}",35,25,35,25,0,3,0,0,3,0
"('14th Avenue', 'Geary Boulevard')",-122.4728656,37.78063925,4,4,4,1,0,0,4,1,0,4,0,4,yes,None,111.4594481,91.01805828,0.045554339,0,-1,-1,no,0,0,no,"{'primary': 1, 'secondary': 1, 'residential': 1, 'cycleway': 4}","{'primary': 1, 'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,2,2,0,2,2,0
"('14th Avenue', 'Lake Street')",-122.4732717,37.7862919,4,4,1,1,0,0,1,1,0,4,0,4,yes,yes,145.2768649,90.04435024,0.001712074,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'Portola Drive')",-122.4683624,37.737458,4,4,3,1,0,0,2,1,0,4,0,4,yes,None,197.988582,92.88888212,0.09509923,0,-1,-1,no,0,0,no,"{'primary_link': 1, 'primary': 1, 'tertiary': 1, 'cycleway': 4}","{'primary_link': 1, 'primary': 1, 'tertiary': 1, 'cycleway': 4}",35,25,35,25,2,2,0,2,2,0
"('14th Street', 'Castro Street')",-122.4356482,37.7673365,4,4,2,1,0,0,1,1,0,4,0,4,yes,None,19.36058658,91.39846568,0.035066862,0,74.45216717,-1,no,0,0,no,"{'tertiary': 1, 'primary': 1, 'cycleway': 4}","{'tertiary': 1, 'primary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('14th Street', 'Church Street')",-122.4290628,37.76803527,4,4,2,1,6,5,2,1,0,4,0,4,yes,yes,160.119286,92.10633247,0.102225091,0.001146395,-1,25.34746116,no,3,1,no,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 6}","{'tertiary': 1, 'residential': 2, 'cycleway': 4, 'track': 5}",25,25,25,25,0,4,0,1,3,0
"('14th Street', 'Divisadero Street')",-122.4364926,37.767284,3,3,1,1,0,0,1,1,0,3,0,3,yes,no,145.482778,90.34668334,0.005555942,0,-1,-1,no,0,0,no,"{'tertiary': 1, 'residential': 1, 'cycleway': 3}","{'tertiary': 1, 'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('14th Street', 'Dolores Street')",-122.42671,37.7678775,4,4,2,1,0,0,2,1,0,4,0,4,yes,None,161.086379,179.134546,0.000293272,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,2,1,1,2,1,1
"('14th Street', 'Folsom Street')",-122.4156342,37.7685357,4,3,2,1,0,0,2,1,0,4,0,3,yes,None,20.16115928,95.11068368,0.097946506,0.000136423,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,0,3,1,0,3,0
"('14th Street', 'Guerrero Street')",-122.4244148,37.7680141,3,3,2,1,0,0,2,1,0,3,0,3,yes,None,161.3168712,90.45755494,0.005249176,0,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 5}",25,25,25,25,2,0,1,2,0,1
"('14th Street', 'Landers Street')",-122.4278734,37.767803,2,1,1,1,1,2,1,1,0,2,0,1,yes,None,147.9210657,90.05243261,0.000278319,0,-1,51.26484644,no,0,1,no,"{'residential': 2, 'cycleway': 2, 'track': 1}","{'residential': 1, 'cycleway': 2, 'track': 2}",25,25,25,25,0,0,2,0,0,1
"('14th Street', 'Market Street')",-122.4286525,37.7677529,3,4,2,1,6,5,3,1,0,3,0,4,yes,yes,128.9933199,140.2538876,0.166303373,0,-1,10.63808858,no,6,2,no,"{'primary': 1, 'tertiary': 1, 'cycleway': 3, 'track': 7}","{'primary': 1, 'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 5}",25,25,25,25,2,1,0,2,1,1
"('14th Street', 'Minna Street')",-122.4192473,37.768321,1,2,1,1,0,0,1,1,0,1,0,2,yes,None,132.3162606,90.09759877,0.001712374,5.72E-05,-1,-1,no,0,0,no,"{'residential': 1, 'cycleway': 1}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,0,1,0,0,2
"('14th Street', 'Mission Street')",-122.4199977,37.7682771,3,3,2,1,0,0,2,1,0,3,0,3,yes,None,18.14602869,90.07770562,0.001140696,0,66.1398296,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 3}","{'residential': 1, 'secondary': 1, 'cycleway': 3}",25,25,25,25,0,2,1,0,2,1
"('14th Street', 'Natoma Street')",-122.4185689,37.7683615,3,3,2,1,0,0,2,1,0,2,0,2,yes,None,140.3252495,157.3746748,1.233508961,0,-1,-1,no,0,0,no,"{'motorway_link': 1, 'residential': 2, 'cycleway': 3}","{'motorway_link': 1, 'residential': 2, 'cycleway': 2}",25,20,25,20,0,1,2,0,1,2
"('14th Street', 'Ramona Avenue')",-122.4253548,37.767958,1,2,1,1,0,0,1,1,0,1,0,2,yes,None,160.2520909,89.9543138,0.00462763,0,-1,-1,no,0,0,no,"{'residential': 1, 'cycleway': 1}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,0,1,0,0,2
"('14th Street', 'South Van Ness Avenue')",-122.417817,37.7684064,4,4,2,1,0,0,2,1,0,3,0,3,yes,None,144.1870941,173.4576439,1.195000979,0,-1,-1,no,0,0,no,"{'motorway_link': 1, 'residential': 1, 'primary': 1, 'cycleway': 3}","{'motorway_link': 1, 'residential': 1, 'primary': 1, 'cycleway': 3}",25,20,25,20,1,1,2,1,1,2
